время	nd	gc*10^6	alpha	ntk	pk	pg	tgaz	tk	etai	etakad	etat	etamex	Gdiz	Gk	Gt	Meff	Mi	Mpot	Mnagr	Mosh	Mk	Mt	Lkad	Ltad	rho
0	1000	2430	1.65499	38000	4.3	3.6	958.503	487.614	0.398783	0.803606	0.915793	0.890082	5.75091	9.28402	4.17757	35006.2	39329.3	4323.01	32000	3.66574e+06	444.382	266.467	153060	277154	3.50377
0.01	1001.4	1153.32	3.58439	37624.3	4.57656	3.34813	708.54	502.75	0.458604	0.783722	0.920807	0.890368	5.91983	8.18107	4.58246	19113	21466.4	2353.4	32000	2.00426e+06	427.071	207.694	161189	193929	3.60162
0.02	995.734	1197.95	3.50761	37184.3	4.80084	3.09065	714.707	516.933	0.459674	0.761774	0.924692	0.889211	5.98312	6.73153	4.25703	19873.1	22349.1	2476.04	32000	2.07217e+06	380.188	185.195	167528	183190	3.66086
0.03	990.403	1239.71	3.41311	36819.2	4.95495	2.89375	723.491	528.33	0.460904	0.74238	0.926838	0.888123	5.99266	5.35581	3.94629	20595.8	23190.2	2594.45	32000	2.13602e+06	321.392	165.913	171762	174895	3.68643
0.04	985.39	1278.81	3.31767	36530.9	5.0508	2.74877	732.965	536.109	0.46196	0.728938	0.927927	0.8871	5.97836	4.39425	3.68535	21269.4	23976.3	2706.92	32000	2.19472e+06	274.748	150.824	174348	168715	3.69634
0.05	980.671	1315.43	3.22179	36307	5.10346	2.64422	742.926	541.596	0.462518	0.718262	0.928425	0.886137	5.94326	3.58492	3.48379	21881.2	24692.7	2811.59	32000	2.24703e+06	230.725	139.908	175753	164456	3.69232
0.06	976.217	1349.85	3.13099	36145.2	5.12076	2.56882	752.696	544.563	0.462628	0.711476	0.928622	0.885228	5.89998	3.02815	3.33322	22436	25344.9	2908.89	32000	2.29355e+06	198.147	132.171	176213	161621	3.68216
0.07	972.005	1382.27	3.04317	36025.6	5.11534	2.5139	763.833	546.341	0.462485	0.705806	0.928672	0.884368	5.84685	2.6705	3.21695	22945.4	25945.5	3000.12	32000	2.3355e+06	176.589	126.865	176069	160200	3.66481
0.08	968.016	1412.86	2.95964	35933.3	5.09589	2.47341	774.837	547.379	0.462122	0.700804	0.928656	0.883554	5.78837	2.44053	3.12751	23413.2	26498.9	3085.68	32000	2.37334e+06	162.473	123.18	175552	159588	3.64311
0.09	964.228	1441.81	2.88	35858.6	5.06798	2.44273	785.539	548.11	0.460238	0.695791	0.928613	0.882781	5.72555	2.29	3.05668	23774.8	26931.7	3156.9	32000	2.40056e+06	153.217	120.575	174807	159507	3.61772
0.1	960.599	1469.54	2.80388	35795.1	5.03508	2.41859	795.961	548.707	0.458335	0.690633	0.92856	0.882041	5.66004	2.18865	2.99837	24111.7	27336.3	3224.57	32000	2.42541e+06	147.046	118.677	173926	159776	3.58985
0.11	957.117	1496.15	2.73313	35738.6	4.99942	2.39883	805.834	548.952	0.456451	0.68615	0.928503	0.88133	5.59677	2.12611	2.94916	24427.7	27716.9	3289.16	32000	2.44829e+06	143.21	117.225	172966	160211	3.56263
0.12	953.774	1521.7	2.66905	35683.2	4.9638	2.38243	814.934	548.778	0.454642	0.682801	0.928446	0.880648	5.53947	2.11983	2.90746	24727.2	28078.4	3351.22	32000	2.46966e+06	142.909	116.099	172002	160708	3.53851
0.13	950.562	1546.26	2.60929	35626.9	4.92919	2.36846	823.535	548.6	0.45285	0.679546	0.928391	0.879992	5.48432	2.10761	2.87107	25008.6	28419.1	3410.51	32000	2.48935e+06	142.209	115.218	171061	161265	3.51512
0.14	947.473	1569.91	2.55279	35570.6	4.89533	2.35618	831.772	548.513	0.450932	0.676104	0.928338	0.879362	5.4299	2.0929	2.83843	25265.4	28731.5	3466.11	32000	2.50673e+06	141.391	114.503	170135	161861	3.49159
0.15	944.495	1592.74	2.49866	35514.7	4.86209	2.34492	840.493	548.603	0.448905	0.672234	0.928285	0.878754	5.3751	2.07679	2.80701	25500	29018.3	3518.35	32000	2.52206e+06	140.575	113.932	169222	162608	3.46725
0.16	941.619	1614.84	2.4475	35459.3	4.82945	2.33453	848.882	548.686	0.446812	0.668434	0.928232	0.878167	5.32185	2.06099	2.7779	25716	29283.8	3567.72	32000	2.53568e+06	139.769	113.429	168321	163342	3.44339
0.17	938.837	1636.27	2.39903	35404.7	4.79738	2.3247	856.884	548.763	0.444664	0.664699	0.928179	0.877599	5.27007	2.04567	2.75069	25915.3	29529.8	3614.46	32000	2.54779e+06	138.986	112.957	167432	164028	3.41999
0.18	936.142	1657.11	2.35296	35350.6	4.76587	2.31523	864.465	548.832	0.441962	0.66103	0.928124	0.877049	5.21968	2.0308	2.72504	26069.5	29724.1	3654.59	32000	2.55558e+06	138.225	112.489	166554	164644	3.39704
0.19	933.512	1677.56	2.30888	35297.2	4.7349	2.30593	871.649	548.895	0.439285	0.657424	0.928068	0.876513	5.17053	2.01624	2.70061	26215.3	29908.6	3693.34	32000	2.56266e+06	137.477	112.008	165687	165182	3.37453
0.2	930.961	1697.48	2.2682	35243.8	4.70466	2.29676	878.23	548.682	0.437454	0.654605	0.92801	0.875992	5.1257	2.02316	2.6776	26400.3	30137.6	3737.31	32000	2.57369e+06	138.04	111.496	164836	165600	3.35444
0.21	928.493	1716.8	2.23187	35187	4.67653	2.28813	884.061	548.109	0.435815	0.652942	0.927952	0.875488	5.08751	2.03676	2.65675	26585.6	30366.6	3781	32000	2.58489e+06	138.874	111.007	164041	165910	3.3383
0.22	926.106	1735.57	2.19651	35128.1	4.64983	2.27987	889.661	547.806	0.434165	0.650716	0.927894	0.875001	5.0486	2.03842	2.63698	26759.5	30582.2	3822.74	32000	2.5951e+06	139.051	110.549	163284	166196	3.3213
0.23	923.795	1753.8	2.16311	35068.4	4.62411	2.2718	894.901	547.478	0.432573	0.648648	0.927836	0.87453	5.01151	2.03485	2.61821	26926.9	30790.2	3863.26	32000	2.60482e+06	138.862	110.091	162551	166421	3.30515
0.24	921.557	1771.52	2.13112	35008.4	4.59911	2.26389	899.873	547.197	0.431012	0.646523	0.927776	0.874073	4.97521	2.02851	2.60024	27086.7	30989	3902.36	32000	2.61393e+06	138.51	109.633	161837	166599	3.28918
0.25	919.389	1788.76	2.10042	34948.2	4.5747	2.25604	904.601	546.956	0.429477	0.644347	0.927715	0.87363	4.93961	2.0207	2.58287	27239.1	31179.2	3940.09	32000	2.62245e+06	138.081	109.164	161136	166726	3.27334
0.26	917.288	1805.54	2.07095	34888	4.55082	2.2482	909.099	546.738	0.427919	0.642157	0.927651	0.873202	4.90478	2.01213	2.56601	27381.4	31357.5	3976.08	32000	2.63013e+06	137.612	108.68	160448	166801	3.25771
0.27	915.248	1821.91	2.04264	34827.8	4.52739	2.24036	913.384	546.534	0.426363	0.639972	0.927585	0.872785	4.87073	2.00315	2.5496	27516.2	31526.9	4010.68	32000	2.6372e+06	137.122	108.18	159770	166826	3.2423
0.28	913.268	1837.89	2.0154	34767.6	4.50439	2.2325	917.469	546.338	0.424869	0.637801	0.927517	0.872381	4.83744	1.99393	2.53358	27647.4	31691.9	4044.48	32000	2.64404e+06	136.619	107.663	159103	166802	3.22713
0.29	911.345	1853.48	1.98919	34707.3	4.48178	2.22461	921.367	546.148	0.423431	0.635646	0.927446	0.871989	4.8049	1.98458	2.51792	27775.1	31852.6	4077.49	32000	2.65066e+06	136.111	107.13	158444	166731	3.21218
0.3	909.479	1868.7	1.96395	34647	4.45953	2.21669	924.897	545.963	0.422048	0.63351	0.927373	0.871608	4.77308	1.97515	2.50286	27899.5	32009.2	4109.73	32000	2.65708e+06	135.599	106.571	157794	166582	3.19746
0.31	907.667	1883.55	1.93962	34586.5	4.43764	2.20868	927.951	545.783	0.420716	0.631387	0.927296	0.871238	4.74193	1.96558	2.48843	28020.5	32161.7	4141.2	32000	2.66329e+06	135.08	105.971	157151	166327	3.18293
0.32	905.91	1898.03	1.91757	34525.2	4.41632	2.20064	930.405	545.277	0.419526	0.630153	0.927217	0.87088	4.71494	1.96869	2.47488	28144.4	32317.3	4172.82	32000	2.66989e+06	135.257	105.334	156524	165954	3.17095
0.33	904.208	1912.13	1.89662	34462.1	4.39596	2.19275	932.629	544.774	0.418399	0.629011	0.927136	0.870532	4.68924	1.97212	2.46193	28266.1	32469.9	4203.8	32000	2.67639e+06	135.464	104.709	155922	165547	3.1596
0.34	902.557	1925.89	1.87198	34399.2	4.37571	2.1846	935.24	545.402	0.417016	0.625	0.927051	0.870195	4.65309	1.93027	2.44822	28364.4	32595.4	4231.04	32000	2.6808e+06	133.171	104.072	155322	165175	3.14098
0.35	900.95	1939.36	1.84815	34340.3	4.35383	2.17545	937.694	545.802	0.415966	0.621377	0.926952	0.869867	4.61778	1.89279	2.43356	28480.2	32740.8	4260.65	32000	2.68695e+06	131.02	103.293	154671	164662	3.1227
0.36	899.399	1952.43	1.82641	34283.3	4.33131	2.16594	939.859	545.768	0.415174	0.618761	0.926845	0.869551	4.5863	1.87077	2.41895	28607.1	32898.7	4291.61	32000	2.69428e+06	129.693	102.451	153999	164051	3.10677
